10 Mbps | 10 Мегабит в секунду скорость передачи в сети Ethernet
100 Mbps | 100 Мегабит в секунду скорость передачи в сети Fast Ethernet и FDDI
10Base-2 | Реализация стандарта IEEE 802.3 Ethernet с использованием тонкого коаксиального кабеля. Называется также Thinnet.
10Base-5 | Реализация стандарта IEEE 802.3 Ethernet с использованием толстого коаксиального кабеля. Называется также Thicknet.
10Base-F | Реализация стандарта IEEE 802.3 Ethernet с использованием оптического кабеля.
10Base-T | Спецификация IEEE 802.3i для сетей Ethernet с использованием неэкранированного кабеля на основе скрученных пар ("витая пара").
100Base-T |  Спецификация IEEE 802.3us для сетей Ethernet со скоростью передачи 100 Мбит/сек на основе неэкранированного кабеля на основе скрученных пар ("витая пара").
100Base-FX | Спецификация IEEE 802.3us для сетей Ethernet со скоростью передачи 100 Мбит/сек на основе оптического кабеля.
AAL (ATM Adaptation Level) | Правила, определяющие способ подготовки информации для передачи по сети ATM
Abstract syntax (абстрактный синтаксис) | Описание структуры данных, независящее от аппаратной реализации и способа кодирования.
Access method (метод доступа) |- Набор правил, обеспечивающих арбитраж доступа к среде передачи. Примерами методов доступа являются CSMA/CD (Ethernet) и передача маркера (Token Ring).
ACSE: Association Control Service Element. |- Метод, используемый в OSI для организации связи между двумя приложениями. Проверяет идентичность и контекст приложений и может выполнять проверку аутентичности.
Address (адрес) |- Уникальный идентификатор, присваиваемый сети или сетевому устройству для того, чтобы другие сети и устройства могли распознать его при обмене информацией.
Address mask (адресная маска) |- Битовая маска, используемая для выбора битов из адреса Internet для адресации подсети. Маска имеет размер 32 бита и выделяет сетевую часть адреса Inetrnet и один или несколько битов локальной части адреса. Иногда называется маской подсети.
Address resolution (разрешение адреса) |- Используется для преобразования адресов сетевого уровня (Network Layer) в обусловленные средой (media-specific) адреса. См. также ARP.
ADMD|: Administration Management Domain (Домен административного управления, административный домен). - Примеры: MCImail и ATTmail в США, British Telecom Gold400mail в Великобритании. ADMD всех стран совместно образуют магистраль X.400 (backbone). См. также PRMD.
Adjacency (смежность)| - Соотношение, устанавливаемое между соседними маршрутизаторами для обмена информацией о маршрутизации. Смежными являются не все пары соседних маршрутизаторов.
ADPCM (Adaptive Differential Pulse Code Modulation| - адаптивная дифференциальная импульсно-кодовая модуляция) - Стандартизованная ITUметодика кодирования аналогового сигнала (речь) в цифровую форму с полосой 32 Кбит/сек (половина стандартной полосы PCM).
